player_id,playerName,numPasses
14903,Tom\u00e1s Eduardo Rinc\u00f3n Hern\u00e1ndez,1418
254,Roberto Jos\u00e9 Rosales Altuve,1413
222220,Andrew Robertson,1412
99902,Piotr Zieli\u0144ski,1410
3529,Mario Gaspar P\u00e9rez Mart\u00ednez,1408
14808,\u0130lkay G\u00fcndo\u011fan,1405
341973,Nordi Mukiele Mulere,1403
228981,Benjamin Bourigeaud,1402
344068,Unai N\u00fa\u00f1ez Gestoso,1402
235597,Timo Baumgartl,1401
3361,Alexis Alejandro S\u00e1nchez S\u00e1nchez,1399
228768,,1395
3313,Jos\u00e9 Mar\u00eda Callej\u00f3n Bueno,1393
15719,Benjamin H\u00fcbner,1392
37739,Dennis Praet,1392
26652,Daniel Wass,1392
3695,\u00c1lvaro Gonz\u00e1lez Sober\u00f3n,1391
3345,Thiago Alc\u00e2ntara do Nascimento,1389
70084,Alex Sandro Lobo Silva,1387
4013,Rub\u00e9n Salvador P\u00e9rez Del M\u00e1rmol,1386
114,Kevin Strootman,1386
3325,Juan Francisco Moreno Fuertes,1382
26311,Romain Amalfitano,1380
4379,Jonathan Viera Ramos,1380
3433,Diego Roberto God\u00edn Leal,1379
25439,Thiago Motta,1378
352988,Dayotchanculle Upamecano,1377
20850,Luca Cigarini,1376
26633,Arnaud Souquet,1373
25492,Thomas Monconduit,1373
228963,Hamari Traor\u00e9,1372
20879,Radja Nainggolan,1371
3671,\u00cd\u00f1igo Mart\u00ednez Berridi,1371
5472,Luis Hern\u00e1ndez Rodr\u00edguez,1366
11095,Milos Veljkovic,1364
217031,Thomas Teye Partey,1364
8976,Tom Carroll,1361
20845,Giacomo Bonaventura,1361
8897,Jonathan Hogg,1358
15215,Christopher Schindler,1357
241676,Roberto Gagliardini,1352
242446,L\u00e9o Dubois,1351
280115,Maxime Lopez,1351
26498,Kenny Lala,1350
209091,Corentin Tolisso,1350
3277,V\u00edctor Ru\u00edz Torre,1346
49872,Xherdan Shaqiri,1345
466,Davy Pr\u00f6pper,1345
14917,Robin Knoche,1344
20556,Antonio Candreva,1342
8242,Shane Duffy,1341
15775,Paul Verhaegh,1339
50102,Fabian Lukas Sch\u00e4r,1338
20438,Daniele De Rossi,1334
703,Maya Yoshida,1330
55990,Thomas Delaney,1330
40550,Jos\u00e9 Paulo Bezzera Maciel J\u00fanior,1329
3308,Pedro Filipe Teod\u00f3sio Mendes,1328
4892,Jos\u00e9 Luis Gay\u00e1 Pe\u00f1a,1328
94695,Hiroki Sakai,1327
25995,Benjamin Stambouli,1327
266286,Marlon Santos da Silva Barbosa,1326
290119,Moussa Niakhat\u00e9,1324
28990,Dimitri Li\u00e9nard,1323
70088,Rolando Jorge Pires da Fonseca,1323
20583,Danilo Larangeira,1323
7944,Wayne Rooney,1322
14929,Makoto Hasebe,1321
393284,Charles Traor\u00e9,1318
11066,Raheem Shaquille Sterling,1318
11063,Jes\u00fas Joaqu\u00edn Fern\u00e1ndez S\u00e1ez de la Torre,1318
92966,Konstantinos Manolas,1317
40614,Guilherme dos Santos Torres,1314
263766,Jemerson de Jesus Nascimento,1313
217874,Abdoulaye Tour\u00e9,1310
25861,Josuha Guilavogui,1310
141172,,1309
18669,Jonas Hector,1309
21350,Marco Parolo,1306
278289,\u00c1lvaro Odriozola Arzallus,1302
257899,Joe Gomez,1301
26399,Damien Da Silva,1300
7922,Chris Smalling,1299
260002,Valentin Rongier,1299
8032,Marcos  Alonso Mendoza,1299
135903,Jo\u00e3o Pedro Cavaco Cancelo,1293
300485,Malcom Filipe Silva de Oliveira,1292
3534,Jaume Vicent Costa Jord\u00e1,1292
20927,Lorenzo De Silvestri,1292
41056,Thiago Henrique Mendes Ribeiro,1291
7988,Yohan Cabaye,1289
399676,Pablo Fornals Malla,1289
20935,R\u00f4mulo  Souza Orestes Caldeira,1288
41363,Gabriel Armando de Abreu,1288
8309,Karim Rekik,1286
3318,Sami Khedira,1285
99833,Bartosz Bereszy\u0144ski,1284
232822,Adam Masina,1283
8582,Aaron Cresswell,1282
21507,Daniele Baselli,1279
3270,Antonio Barrag\u00e1n Fern\u00e1ndez,1279
119951,Ahmed Hegazy,1278
268776,Wesley Hoedt,1278
276979,Ferland Mendy,1277
37824,Thomas Meunier,1276
28122,Yassine Benzia,1269
215036,C\u00e9dric Yamber\u00e9,1268
302799,Rolando Mandragora,1265
28230,Adrien  Tameze,1258
9277,Steve Cook,1256
